filial	dt	sku_norm	linha	qtd	valor	margem	custo	vendedor	cliente	ped_app	categorias	sub_categorias
14	26/11/2019	cel3	CL	1	3199	463,4700012	2744,679932	V8731553	H4208150	1	CL - SMARTPHONE	CL - PREMIUM
14	24/12/2019	cel5	CL	1	2899	24,28000069	2703,820068	V000186	H18104581	0	CL - SMARTPHONE	CL - PREMIUM
97	02/11/2019	lavaseca210kg	LB	1	3000	692,7299805	1940,369995	V8731615	Z523508	0	LB - LAVANDERIA	LB - LAVA & SECA
74	24/11/2019	lavaseca110kg	LB	1	2678	363,0700073	2550,26001	V87387031	B183301	1	LB - LAVANDERIA	LB - LAVA & SECA
66	10/11/2019	cel3	CL	1	3694,77002	185,1999969	2744,72998	V000186	K005258	0	CL - SMARTPHONE	CL - PREMIUM
14	24/12/2019	cel5	CL	1	2899	24,28000069	2703,820068	V000186	H5328143	0	CL - SMARTPHONE	CL - PREMIUM
74	03/12/2019	lavaseca210kg	LB	1	2678	379,730011	2578,110107	V8731818	N81548134	0	LB - LAVANDERIA	LB - LAVA & SECA
33	09/11/2019	lavaseca110kg	LB	2	5873,459961	638,5	5168,97998	V873878710	I040318	1	LB - LAVANDERIA	LB - LAVA & SECA
18	07/12/2019	cel3	CL	1	3791,600098	507,0599976	3271,219971	V110183	H4050811	1	CL - SMARTPHONE	CL - PREMIUM
14	24/12/2019	cel5	CL	1	2899	198,2100067	2703,820068	V000186	N004028	0	CL - SMARTPHONE	CL - PREMIUM
74	03/12/2019	lavaseca210kg	LB	1	2678,310059	-226,0299988	2578,110107	V103650	N58181504	1	LB - LAVANDERIA	LB - LAVA & SECA
33	09/11/2019	lavaseca110kg	LB	1	2994,389893	372,8900146	2584,48999	V111056	K550051	0	LB - LAVANDERIA	LB - LAVA & SECA
82	02/01/2020	cel3	CL	1	3270	-13,22000027	3653,389893	V8731181	H545435	1	CL - SMARTPHONE	CL - PREMIUM
26	24/12/2019	cel5	CL	1	3319,419922	75,73999786	3198,570068	V105138	Y2058081	1	CL - SMARTPHONE	CL - PREMIUM
