filial	dt	sku_norm	linha	qtd	valor	margem	custo	vendedor	cliente	ped_app	categorias	sub_categorias
64	24/12/2019	cel3	CL	1	3907,050049	703,2700195	2703,97998	V87387118	B3038811	0	CL - SMARTPHONE	CL - PREMIUM
84	30/11/2019	cel5	CL	1	3400	372,9400024	3342,179932	V1105873	X28408181	0	CL - SMARTPHONE	CL - PREMIUM
97	24/11/2019	lavaseca210kg	LB	1	2774	421,1600037	1941,410034	V000186	X10815181	0	LB - LAVANDERIA	LB - LAVA & SECA
33	24/11/2019	lavaseca110kg	LB	1	2774	401,8599854	2584,48999	V1038761	L58181455	1	LB - LAVANDERIA	LB - LAVA & SECA
23	03/01/2020	cel3	CL	1	3229,530029	574,3300171	2958,909912	V103663	Y015100	1	CL - SMARTPHONE	CL - PREMIUM
3D	05/12/2019	cel5	CL	1	3820	504,7600098	3331,560059	V110631	L403550	1	CL - SMARTPHONE	CL - PREMIUM
33	26/11/2019	lavaseca210kg	LB	1	2859	548,1199951	2699,449951	V111410	N200055	0	LB - LAVANDERIA	LB - LAVA & SECA
60	24/11/2019	lavaseca110kg	LB	1	2678,310059	287,0599976	2604,429932	V8731808	L0328128	1	LB - LAVANDERIA	LB - LAVA & SECA
65	29/12/2019	cel3	CL	1	3316,73999	434,1400146	3291,149902	V87387654	O840134	1	CL - SMARTPHONE	CL - PREMIUM
26	03/12/2019	cel5	CL	1	3790	491,0400085	3331,560059	V1118874	H4835814	1	CL - SMARTPHONE	CL - PREMIUM
97	10/11/2019	lavaseca210kg	LB	1	2718,719971	172,3800049	1941,01001	V101335	O3810285	0	LB - LAVANDERIA	LB - LAVA & SECA
61	24/11/2019	lavaseca110kg	LB	1	2678,310059	297,5	2614,050049	V1187056	M2081552	1	LB - LAVANDERIA	LB - LAVA & SECA
46	09/12/2019	cel3	CL	1	3979,129883	479,730011	3331,560059	V1033487	L500511	1	CL - SMARTPHONE	CL - PREMIUM
1E	29/11/2019	cel5	CL	1	3399	459,2600098	3331,560059	V103853	H455105	1	CL - SMARTPHONE	CL - PREMIUM
33	29/11/2019	lavaseca210kg	LB	1	2678,310059	154,4499969	2704,709961	V8731681	Y358521	0	LB - LAVANDERIA	LB - LAVA & SECA
33	01/12/2019	lavaseca110kg	LB	1	2678,310059	309,2399902	2666,080078	V87313871	M035001	1	LB - LAVANDERIA	LB - LAVA & SECA
12	13/11/2019	cel3	CL	1	3649,050049	287,7399902	3331,560059	V110645	B513858	0	CL - SMARTPHONE	CL - PREMIUM
79	27/12/2019	cel5	CL	1	3350	364,4400024	2998,909912	V87387143	X802050	1	CL - SMARTPHONE	CL - PREMIUM
33	29/11/2019	lavaseca210kg	LB	1	2718,719971	357,0400085	2704,709961	V101460	I1035181	0	LB - LAVANDERIA	LB - LAVA & SECA
33	08/12/2019	lavaseca110kg	LB	1	2679	465,1499939	2691,76001	V1087106	X401303	0	LB - LAVANDERIA	LB - LAVA & SECA
14	03/12/2019	cel3	CL	1	3499	77,54000092	2744,719971	V000186	H205405	0	CL - SMARTPHONE	CL - PREMIUM
14	19/12/2019	cel5	CL	1	3099	381,4500122	2703,820068	V1187411	Y8818023	1	CL - SMARTPHONE	CL - PREMIUM
33	04/01/2020	lavaseca210kg	LB	1	2806,76001	361,730011	2704,709961	V103405	O444511	1	LB - LAVANDERIA	LB - LAVA & SECA
33	01/12/2019	lavaseca110kg	LB	1	2678,310059	-235,5099945	2666,080078	V001111	T455080	0	LB - LAVANDERIA	LB - LAVA & SECA
14	03/12/2019	cel3	CL	1	3199	71,12000275	2744,719971	V000186	H458044	0	CL - SMARTPHONE	CL - PREMIUM
15	26/12/2019	cel5	CL	1	3600,080078	621,960022	3001,840088	V11873387	L488125	0	CL - SMARTPHONE	CL - PREMIUM
